Company Name,Location,Job Title,Required Skills,Job Description,Experience Level,Salary Range,Posting Date,Job Type
Oracle,Indore,ML Engineer,"AWS, Azure, Docker",NA,Senior,4-6 LPA,20-04-2024,Full-time
Zomato,Bangalore,Product Manager,"Node.js, Express, MongoDB",NA,Entry-level,10-15 LPA,19-04-2024,Full-time
Tech Mahindra,Nagpur,Full Stack Developer,"AWS, Azure, Docker",NA,Entry-level,5-8 LPA,14-02-2024,Full-time
Google,Pune,Business Analyst,"Node.js, Express, MongoDB",NA,Senior,10-15 LPA,22-05-2024,Contract
Oracle,Hyderabad,Backend Developer,"Java, Spring Boot, Microservices",NA,Entry-level,20-30 LPA,28-08-2023,Part-time
Accenture,Lucknow,Data Scientist,"SQL, Power BI, Excel",NA,Senior,3-5 LPA,05-06-2023,Internship
Tata Consultancy Services,Noida,Business Analyst,"Node.js, Express, MongoDB",NA,Senior,4-6 LPA,06-05-2023,Internship
Microsoft,Jaipur,Data Scientist,"Go, Kubernetes, Docker",NA,Mid-level,18-25 LPA,06-06-2024,Contract
Amazon,Lucknow,Business Analyst,"Node.js, Express, MongoDB",NA,Entry-level,7-12 LPA,16-03-2023,Full-time
IBM,Noida,Product Manager,"Ruby on Rails, PostgreSQL",NA,Senior,4-6 LPA,12-07-2024,Part-time
Tata Consultancy Services,Bhopal,Backend Developer,"CI/CD, Jenkins, Kubernetes",NA,Entry-level,18-25 LPA,16-12-2024,Internship
Paytm,Nagpur,Frontend Developer,"Python, NLP, AI models",NA,Mid-level,15-20 LPA,26-10-2024,Internship
Tata Consultancy Services,Gurgaon,Data Scientist,"Go, Kubernetes, Docker",NA,Mid-level,4-6 LPA,23-01-2023,Full-time
Infosys,Gurgaon,Software Engineer,"HTML, CSS, JavaScript",NA,Entry-level,20-30 LPA,28-03-2023,Contract
IBM,Chennai,Cybersecurity Analyst,"Go, Kubernetes, Docker",NA,Senior,4-6 LPA,15-10-2023,Part-time
Zomato,Lucknow,Backend Developer,"Python, ML, TensorFlow",NA,Entry-level,4-6 LPA,28-08-2023,Part-time
Tata Consultancy Services,Bangalore,ML Engineer,"Node.js, Express, MongoDB",NA,Entry-level,7-12 LPA,15-04-2023,Full-time
Infosys,Bhopal,Backend Developer,"Node.js, Express, MongoDB",NA,Senior,5-8 LPA,06-06-2023,Contract
Swiggy,Hyderabad,Frontend Developer,"Go, Kubernetes, Docker",NA,Senior,6-10 LPA,19-03-2023,Internship
Google,Pune,Product Manager,"React, Node.js, SQL",NA,Entry-level,5-8 LPA,15-02-2025,Contract
Paytm,Surat,Product Manager,"Python, NLP, AI models",NA,Mid-level,7-12 LPA,15-05-2024,Part-time
HCL Technologies,Indore,Software Engineer,"CI/CD, Jenkins, Kubernetes",NA,Senior,10-15 LPA,29-04-2023,Internship
Swiggy,Chennai,ML Engineer,"Ruby on Rails, PostgreSQL",NA,Entry-level,5-8 LPA,28-12-2023,Contract
IBM,Bhopal,Business Analyst,"SQL, Excel, Data Visualization",NA,Mid-level,7-12 LPA,05-03-2025,Full-time
Microsoft,Surat,Data Scientist,"Java, Spring Boot, Microservices",NA,Entry-level,10-15 LPA,25-08-2023,Internship
Wipro,Indore,DevOps Engineer,"SQL, Excel, Data Visualization",NA,Senior,4-6 LPA,21-01-2025,Part-time
Infosys,Nagpur,Business Analyst,"Python, ML, TensorFlow",NA,Mid-level,3-5 LPA,12-01-2025,Part-time
Cognizant,Gurgaon,Frontend Developer,"CI/CD, Jenkins, Kubernetes",NA,Mid-level,3-5 LPA,06-02-2025,Contract
Capgemini,Bangalore,Business Analyst,"Python, ML, TensorFlow",NA,Senior,10-15 LPA,31-03-2023,Internship
PhonePe,Indore,Backend Developer,"SQL, Excel, Data Visualization",NA,Mid-level,7-12 LPA,22-12-2024,Internship
Capgemini,Surat,Backend Developer,"SQL, Power BI, Excel",NA,Mid-level,5-8 LPA,21-01-2025,Full-time
Paytm,Mumbai,Business Analyst,"Python, ML, TensorFlow",NA,Entry-level,3-5 LPA,10-02-2024,Contract
Wipro,Gurgaon,Product Manager,"SQL, Power BI, Excel",NA,Mid-level,4-6 LPA,18-12-2024,Full-time
Deloitte,Bangalore,Backend Developer,"Node.js, Express, MongoDB",NA,Mid-level,6-10 LPA,09-02-2025,Full-time
Wipro,Lucknow,Cloud Engineer,"SQL, Excel, Data Visualization",NA,Mid-level,5-8 LPA,02-12-2024,Part-time
Wipro,Lucknow,Data Analyst,"Go, Kubernetes, Docker",NA,Mid-level,10-15 LPA,28-01-2023,Full-time
PhonePe,Gurgaon,Backend Developer,"Python, NLP, AI models",NA,Entry-level,4-6 LPA,06-10-2024,Part-time
Accenture,Hyderabad,Full Stack Developer,"Python, NLP, AI models",NA,Entry-level,15-20 LPA,15-10-2023,Full-time
Capgemini,Indore,Cloud Engineer,"Ruby on Rails, PostgreSQL",NA,Mid-level,3-5 LPA,20-05-2024,Part-time
Byju's,Coimbatore,Full Stack Developer,"CI/CD, Jenkins, Kubernetes",NA,Mid-level,18-25 LPA,17-03-2024,Contract
Swiggy,Coimbatore,Frontend Developer,"Python, NLP, AI models",NA,Entry-level,3-5 LPA,06-02-2023,Part-time
PhonePe,Gurgaon,Cloud Engineer,"Ruby on Rails, PostgreSQL",NA,Senior,4-6 LPA,16-02-2025,Contract
Byju's,Indore,Backend Developer,"Python, ML, TensorFlow",NA,Mid-level,6-10 LPA,26-09-2024,Part-time
Tata Consultancy Services,Kolkata,Data Analyst,"Go, Kubernetes, Docker",NA,Entry-level,7-12 LPA,26-02-2023,Internship
Paytm,Indore,Data Analyst,"React, Node.js, SQL",NA,Senior,6-10 LPA,06-05-2024,Part-time
Accenture,Bangalore,Data Analyst,"Python, NLP, AI models",NA,Mid-level,18-25 LPA,22-03-2023,Contract
Byju's,Gurgaon,Product Manager,"Ruby on Rails, PostgreSQL",NA,Entry-level,3-5 LPA,30-09-2024,Internship
Google,Jaipur,Cloud Engineer,"Go, Kubernetes, Docker",NA,Entry-level,15-20 LPA,02-01-2023,Internship
Swiggy,Bhopal,Product Manager,"SQL, Power BI, Excel",NA,Senior,7-12 LPA,14-11-2024,Full-time
Amazon,Nagpur,Frontend Developer,"Java, Spring Boot, Microservices",NA,Senior,6-10 LPA,27-03-2023,Contract
Google,Gurgaon,Data Analyst,"HTML, CSS, JavaScript",NA,Entry-level,15-20 LPA,04-01-2023,Internship
Google,Pune,Frontend Developer,"Python, NLP, AI models",NA,Senior,20-30 LPA,25-01-2025,Contract
Accenture,Kolkata,Cloud Engineer,"React, Node.js, SQL",NA,Senior,18-25 LPA,15-03-2025,Internship
Tata Consultancy Services,Lucknow,Product Manager,"Node.js, Express, MongoDB",NA,Senior,7-12 LPA,31-01-2025,Internship
Flipkart,Coimbatore,Backend Developer,"Java, Spring Boot, Microservices",NA,Senior,20-30 LPA,20-11-2024,Full-time
Google,Gurgaon,Cybersecurity Analyst,"SQL, Power BI, Excel",NA,Entry-level,3-5 LPA,05-11-2024,Internship
Deloitte,Surat,DevOps Engineer,"CI/CD, Jenkins, Kubernetes",NA,Entry-level,10-15 LPA,11-02-2025,Full-time
Infosys,Nagpur,Cloud Engineer,"HTML, CSS, JavaScript",NA,Mid-level,10-15 LPA,10-03-2024,Contract
Accenture,Noida,Frontend Developer,"CI/CD, Jenkins, Kubernetes",NA,Mid-level,18-25 LPA,30-01-2023,Contract
Wipro,Jaipur,Cloud Engineer,"Node.js, Express, MongoDB",NA,Entry-level,4-6 LPA,23-06-2023,Full-time
Cognizant,Nagpur,Backend Developer,"SQL, Power BI, Excel",NA,Senior,4-6 LPA,04-01-2023,Full-time
Flipkart,Mumbai,ML Engineer,"SQL, Power BI, Excel",NA,Senior,10-15 LPA,09-11-2023,Internship
Wipro,Noida,DevOps Engineer,"SQL, Power BI, Excel",NA,Mid-level,4-6 LPA,15-11-2024,Full-time
Accenture,Noida,Product Manager,"Python, ML, TensorFlow",NA,Senior,6-10 LPA,14-10-2024,Full-time
Amazon,Bangalore,Data Scientist,"AWS, Azure, Docker",NA,Senior,7-12 LPA,25-04-2024,Contract
Capgemini,Surat,ML Engineer,"Go, Kubernetes, Docker",NA,Senior,6-10 LPA,15-09-2023,Contract
Swiggy,Ahmedabad,Data Scientist,"SQL, Excel, Data Visualization",NA,Senior,10-15 LPA,03-12-2023,Full-time
Deloitte,Jaipur,DevOps Engineer,"React, Node.js, SQL",NA,Entry-level,3-5 LPA,09-05-2024,Part-time
Tech Mahindra,Indore,ML Engineer,"Go, Kubernetes, Docker",NA,Senior,3-5 LPA,14-12-2024,Full-time
IBM,Indore,Frontend Developer,"CI/CD, Jenkins, Kubernetes",NA,Senior,7-12 LPA,24-05-2024,Internship
Tata Consultancy Services,Bangalore,Software Engineer,"Ruby on Rails, PostgreSQL",NA,Senior,18-25 LPA,05-11-2023,Internship
Wipro,Coimbatore,Full Stack Developer,"Java, Spring Boot, Microservices",NA,Entry-level,10-15 LPA,13-09-2024,Contract
Deloitte,Ahmedabad,Backend Developer,"SQL, Excel, Data Visualization",NA,Senior,5-8 LPA,06-01-2024,Contract
Tata Consultancy Services,Ahmedabad,Data Scientist,"Java, Spring Boot, Microservices",NA,Senior,5-8 LPA,11-08-2024,Full-time
Cognizant,Bangalore,Cloud Engineer,"Node.js, Express, MongoDB",NA,Mid-level,18-25 LPA,23-02-2024,Full-time
HCL Technologies,Indore,Software Engineer,"Java, Spring Boot, Microservices",NA,Mid-level,5-8 LPA,01-08-2023,Internship
Paytm,Indore,Full Stack Developer,"SQL, Excel, Data Visualization",NA,Mid-level,18-25 LPA,10-08-2024,Internship
Google,Ahmedabad,Data Scientist,"Python, NLP, AI models",NA,Mid-level,6-10 LPA,06-12-2023,Full-time
PhonePe,Ahmedabad,Frontend Developer,"SQL, Excel, Data Visualization",NA,Mid-level,10-15 LPA,07-09-2023,Part-time
Tech Mahindra,Noida,Product Manager,"HTML, CSS, JavaScript",NA,Mid-level,10-15 LPA,11-01-2023,Internship
Accenture,Indore,Cybersecurity Analyst,"React, Node.js, SQL",NA,Senior,3-5 LPA,15-04-2024,Part-time
Tech Mahindra,Coimbatore,Backend Developer,"React, Node.js, SQL",NA,Entry-level,10-15 LPA,13-03-2025,Internship
Capgemini,Mumbai,Data Scientist,"SQL, Excel, Data Visualization",NA,Senior,6-10 LPA,28-09-2024,Part-time
HCL Technologies,Surat,Frontend Developer,"Ruby on Rails, PostgreSQL",NA,Mid-level,20-30 LPA,03-03-2024,Part-time
Byju's,Kolkata,Cybersecurity Analyst,"SQL, Power BI, Excel",NA,Entry-level,7-12 LPA,15-02-2024,Internship
Swiggy,Chennai,Cybersecurity Analyst,"AWS, Azure, Docker",NA,Entry-level,20-30 LPA,13-11-2024,Part-time
HCL Technologies,Hyderabad,Data Scientist,"Python, NLP, AI models",NA,Entry-level,20-30 LPA,09-08-2023,Internship
Google,Bangalore,Full Stack Developer,"Go, Kubernetes, Docker",NA,Mid-level,4-6 LPA,15-01-2024,Part-time
Microsoft,Chennai,Business Analyst,"Python, NLP, AI models",NA,Entry-level,10-15 LPA,08-11-2024,Part-time
Capgemini,Jaipur,Cloud Engineer,"HTML, CSS, JavaScript",NA,Senior,7-12 LPA,11-10-2023,Full-time
Wipro,Bangalore,Data Scientist,"Go, Kubernetes, Docker",NA,Entry-level,4-6 LPA,03-02-2023,Part-time
Infosys,Bangalore,ML Engineer,"Python, ML, TensorFlow",NA,Mid-level,10-15 LPA,24-12-2024,Internship
HCL Technologies,Bhopal,ML Engineer,"SQL, Excel, Data Visualization",NA,Entry-level,7-12 LPA,04-10-2024,Full-time
Capgemini,Indore,Backend Developer,"React, Node.js, SQL",NA,Senior,3-5 LPA,27-09-2024,Part-time
Oracle,Lucknow,Business Analyst,"Python, ML, TensorFlow",NA,Entry-level,7-12 LPA,07-10-2024,Contract
Amazon,Mumbai,Data Analyst,"React, Node.js, SQL",NA,Senior,20-30 LPA,16-01-2023,Part-time
Tech Mahindra,Ahmedabad,Cloud Engineer,"React, Node.js, SQL",NA,Mid-level,5-8 LPA,04-01-2024,Full-time
Cognizant,Kolkata,DevOps Engineer,"React, Node.js, SQL",NA,Entry-level,18-25 LPA,15-03-2025,Part-time
PhonePe,Ahmedabad,DevOps Engineer,"Python, ML, TensorFlow",NA,Mid-level,15-20 LPA,13-05-2023,Internship
Amazon,Mumbai,Data Scientist,"SQL, Excel, Data Visualization",NA,Mid-level,3-5 LPA,23-07-2023,Part-time
IBM,Pune,Cybersecurity Analyst,"HTML, CSS, JavaScript",NA,Mid-level,4-6 LPA,11-07-2024,Full-time
Cognizant,Gurgaon,Data Analyst,"Python, NLP, AI models",NA,Senior,4-6 LPA,13-12-2023,Part-time
Deloitte,Pune,DevOps Engineer,"Java, Spring Boot, Microservices",NA,Entry-level,6-10 LPA,08-11-2023,Part-time
Swiggy,Kolkata,Product Manager,"CI/CD, Jenkins, Kubernetes",NA,Entry-level,15-20 LPA,26-01-2023,Part-time
Swiggy,Pune,ML Engineer,"Go, Kubernetes, Docker",NA,Senior,3-5 LPA,02-03-2025,Full-time
Cognizant,Jaipur,Data Scientist,"Python, NLP, AI models",NA,Entry-level,6-10 LPA,18-12-2024,Internship
HCL Technologies,Lucknow,Frontend Developer,"Ruby on Rails, PostgreSQL",NA,Entry-level,4-6 LPA,02-09-2024,Part-time
Flipkart,Coimbatore,Backend Developer,"SQL, Power BI, Excel",NA,Entry-level,4-6 LPA,03-05-2023,Contract
Paytm,Ahmedabad,Backend Developer,"Python, ML, TensorFlow",NA,Mid-level,15-20 LPA,28-02-2024,Internship
Byju's,Noida,Full Stack Developer,"Ruby on Rails, PostgreSQL",NA,Entry-level,4-6 LPA,23-12-2024,Part-time
Tech Mahindra,Chennai,Business Analyst,"Python, ML, TensorFlow",NA,Entry-level,6-10 LPA,19-11-2023,Contract
PhonePe,Ahmedabad,Software Engineer,"AWS, Azure, Docker",NA,Senior,5-8 LPA,15-03-2023,Part-time
Accenture,Gurgaon,Business Analyst,"SQL, Power BI, Excel",NA,Mid-level,18-25 LPA,10-10-2024,Internship
Capgemini,Surat,Frontend Developer,"SQL, Power BI, Excel",NA,Senior,15-20 LPA,01-02-2023,Part-time
Capgemini,Pune,Data Analyst,"SQL, Power BI, Excel",NA,Entry-level,7-12 LPA,28-05-2024,Internship
Infosys,Gurgaon,Backend Developer,"Node.js, Express, MongoDB",NA,Mid-level,15-20 LPA,03-06-2023,Full-time
Swiggy,Hyderabad,Full Stack Developer,"Node.js, Express, MongoDB",NA,Mid-level,15-20 LPA,01-03-2023,Internship
Zomato,Surat,DevOps Engineer,"Ruby on Rails, PostgreSQL",NA,Mid-level,15-20 LPA,21-10-2024,Part-time
PhonePe,Coimbatore,Product Manager,"HTML, CSS, JavaScript",NA,Senior,7-12 LPA,04-12-2024,Part-time
Flipkart,Kolkata,Data Scientist,"Go, Kubernetes, Docker",NA,Senior,15-20 LPA,28-10-2023,Internship
HCL Technologies,Pune,Product Manager,"AWS, Azure, Docker",NA,Senior,6-10 LPA,26-02-2024,Full-time
Oracle,Hyderabad,Product Manager,"Python, NLP, AI models",NA,Senior,18-25 LPA,28-08-2023,Part-time
Byju's,Surat,ML Engineer,"React, Node.js, SQL",NA,Entry-level,18-25 LPA,30-08-2024,Part-time
Accenture,Surat,Product Manager,"Python, NLP, AI models",NA,Entry-level,18-25 LPA,15-12-2023,Internship
Tata Consultancy Services,Lucknow,DevOps Engineer,"SQL, Excel, Data Visualization",NA,Mid-level,15-20 LPA,30-06-2024,Internship
Flipkart,Noida,Frontend Developer,"Node.js, Express, MongoDB",NA,Senior,5-8 LPA,22-08-2023,Contract
Infosys,Gurgaon,Software Engineer,"Node.js, Express, MongoDB",NA,Senior,3-5 LPA,21-03-2023,Internship
IBM,Noida,Software Engineer,"SQL, Power BI, Excel",NA,Mid-level,10-15 LPA,26-10-2023,Internship
Amazon,Chennai,DevOps Engineer,"Node.js, Express, MongoDB",NA,Entry-level,7-12 LPA,22-11-2024,Contract
Byju's,Gurgaon,Cybersecurity Analyst,"Node.js, Express, MongoDB",NA,Mid-level,3-5 LPA,03-01-2024,Internship
Flipkart,Lucknow,Software Engineer,"Node.js, Express, MongoDB",NA,Mid-level,20-30 LPA,01-04-2024,Contract
Flipkart,Noida,Full Stack Developer,"AWS, Azure, Docker",NA,Mid-level,15-20 LPA,06-10-2023,Internship
Zomato,Mumbai,ML Engineer,"Python, NLP, AI models",NA,Senior,7-12 LPA,13-03-2025,Contract
PhonePe,Pune,Data Analyst,"React, Node.js, SQL",NA,Entry-level,18-25 LPA,01-12-2023,Internship
Infosys,Kolkata,Product Manager,"SQL, Power BI, Excel",NA,Mid-level,3-5 LPA,12-06-2023,Contract
Tech Mahindra,Bangalore,Backend Developer,"Ruby on Rails, PostgreSQL",NA,Entry-level,5-8 LPA,11-08-2023,Full-time
Wipro,Mumbai,Business Analyst,"SQL, Power BI, Excel",NA,Mid-level,7-12 LPA,13-05-2024,Internship
Tata Consultancy Services,Pune,Cloud Engineer,"AWS, Azure, Docker",NA,Entry-level,20-30 LPA,10-06-2024,Part-time
Deloitte,Lucknow,Data Analyst,"HTML, CSS, JavaScript",NA,Senior,10-15 LPA,21-01-2023,Contract
Wipro,Ahmedabad,Data Analyst,"SQL, Power BI, Excel",NA,Entry-level,5-8 LPA,25-04-2023,Full-time
Google,Ahmedabad,Frontend Developer,"SQL, Excel, Data Visualization",NA,Entry-level,15-20 LPA,29-09-2024,Full-time
Cognizant,Surat,Full Stack Developer,"Java, Spring Boot, Microservices",NA,Senior,10-15 LPA,01-10-2023,Part-time
Flipkart,Nagpur,DevOps Engineer,"HTML, CSS, JavaScript",NA,Mid-level,15-20 LPA,26-05-2023,Contract
Microsoft,Coimbatore,Cybersecurity Analyst,"Java, Spring Boot, Microservices",NA,Entry-level,20-30 LPA,22-10-2023,Part-time
PhonePe,Mumbai,Full Stack Developer,"Go, Kubernetes, Docker",NA,Senior,10-15 LPA,01-12-2023,Contract
Byju's,Coimbatore,Cloud Engineer,"SQL, Power BI, Excel",NA,Mid-level,7-12 LPA,15-02-2024,Contract
Deloitte,Lucknow,ML Engineer,"CI/CD, Jenkins, Kubernetes",NA,Mid-level,6-10 LPA,28-01-2023,Full-time
Cognizant,Indore,Full Stack Developer,"Python, ML, TensorFlow",NA,Senior,15-20 LPA,26-08-2023,Contract
Paytm,Jaipur,Software Engineer,"Go, Kubernetes, Docker",NA,Entry-level,5-8 LPA,01-07-2024,Full-time
Tata Consultancy Services,Kolkata,Data Analyst,"HTML, CSS, JavaScript",NA,Entry-level,20-30 LPA,13-12-2024,Part-time
HCL Technologies,Surat,Business Analyst,"Ruby on Rails, PostgreSQL",NA,Entry-level,4-6 LPA,18-07-2023,Internship
Oracle,Bhopal,Data Analyst,"Python, NLP, AI models",NA,Senior,6-10 LPA,18-05-2023,Contract
Cognizant,Noida,Cloud Engineer,"AWS, Azure, Docker",NA,Entry-level,15-20 LPA,09-12-2023,Full-time
Capgemini,Surat,DevOps Engineer,"Python, NLP, AI models",NA,Mid-level,5-8 LPA,10-01-2025,Internship
Microsoft,Jaipur,Full Stack Developer,"Python, ML, TensorFlow",NA,Entry-level,18-25 LPA,25-02-2025,Part-time
Capgemini,Hyderabad,Cloud Engineer,"Ruby on Rails, PostgreSQL",NA,Entry-level,20-30 LPA,12-02-2025,Internship
Microsoft,Gurgaon,Data Analyst,"CI/CD, Jenkins, Kubernetes",NA,Entry-level,5-8 LPA,18-01-2023,Part-time
IBM,Pune,DevOps Engineer,"CI/CD, Jenkins, Kubernetes",NA,Entry-level,7-12 LPA,07-04-2023,Full-time
Wipro,Noida,ML Engineer,"AWS, Azure, Docker",NA,Entry-level,7-12 LPA,10-01-2025,Full-time
HCL Technologies,Nagpur,Software Engineer,"Node.js, Express, MongoDB",NA,Mid-level,6-10 LPA,10-09-2023,Contract
Deloitte,Indore,Business Analyst,"HTML, CSS, JavaScript",NA,Senior,20-30 LPA,18-10-2023,Full-time
Capgemini,Ahmedabad,Data Analyst,"SQL, Excel, Data Visualization",NA,Senior,4-6 LPA,24-01-2025,Part-time
Google,Kolkata,ML Engineer,"SQL, Excel, Data Visualization",NA,Senior,3-5 LPA,11-01-2023,Internship
Zomato,Ahmedabad,Data Scientist,"HTML, CSS, JavaScript",NA,Entry-level,20-30 LPA,20-10-2023,Contract
Swiggy,Pune,Full Stack Developer,"React, Node.js, SQL",NA,Senior,7-12 LPA,10-01-2023,Full-time
HCL Technologies,Bangalore,Software Engineer,"Python, NLP, AI models",NA,Senior,4-6 LPA,09-12-2024,Full-time
Capgemini,Indore,Frontend Developer,"SQL, Power BI, Excel",NA,Entry-level,10-15 LPA,27-11-2023,Part-time
Oracle,Bhopal,Frontend Developer,"Node.js, Express, MongoDB",NA,Senior,20-30 LPA,22-12-2024,Full-time
Accenture,Indore,ML Engineer,"Go, Kubernetes, Docker",NA,Mid-level,6-10 LPA,29-07-2023,Full-time
Microsoft,Hyderabad,Frontend Developer,"Go, Kubernetes, Docker",NA,Mid-level,7-12 LPA,18-03-2024,Full-time
Tata Consultancy Services,Jaipur,ML Engineer,"Ruby on Rails, PostgreSQL",NA,Senior,7-12 LPA,22-07-2024,Part-time
Accenture,Indore,Product Manager,"Node.js, Express, MongoDB",NA,Entry-level,20-30 LPA,09-09-2024,Full-time
Cognizant,Chennai,Frontend Developer,"SQL, Excel, Data Visualization",NA,Senior,5-8 LPA,03-02-2024,Internship
Paytm,Jaipur,Cloud Engineer,"AWS, Azure, Docker",NA,Entry-level,18-25 LPA,21-07-2024,Full-time
Swiggy,Pune,Product Manager,"Ruby on Rails, PostgreSQL",NA,Mid-level,15-20 LPA,12-08-2023,Contract
Paytm,Chennai,Frontend Developer,"CI/CD, Jenkins, Kubernetes",NA,Mid-level,4-6 LPA,18-02-2025,Internship
PhonePe,Pune,Business Analyst,"CI/CD, Jenkins, Kubernetes",NA,Senior,20-30 LPA,11-04-2023,Full-time
Wipro,Ahmedabad,Backend Developer,"Ruby on Rails, PostgreSQL",NA,Entry-level,3-5 LPA,12-09-2023,Full-time
Tech Mahindra,Kolkata,Backend Developer,"SQL, Excel, Data Visualization",NA,Entry-level,10-15 LPA,15-11-2024,Contract
Byju's,Coimbatore,DevOps Engineer,"Ruby on Rails, PostgreSQL",NA,Senior,3-5 LPA,30-01-2024,Internship
Flipkart,Surat,Data Analyst,"Java, Spring Boot, Microservices",NA,Senior,18-25 LPA,14-02-2025,Contract
Cognizant,Bangalore,Software Engineer,"HTML, CSS, JavaScript",NA,Mid-level,18-25 LPA,13-01-2023,Full-time
Paytm,Bangalore,Data Analyst,"Python, ML, TensorFlow",NA,Mid-level,7-12 LPA,30-11-2024,Internship
Capgemini,Bangalore,Business Analyst,"HTML, CSS, JavaScript",NA,Senior,5-8 LPA,02-08-2023,Full-time
PhonePe,Kolkata,Data Scientist,"Node.js, Express, MongoDB",NA,Mid-level,5-8 LPA,20-01-2025,Full-time
Accenture,Pune,Cloud Engineer,"Python, ML, TensorFlow",NA,Mid-level,4-6 LPA,12-07-2023,Full-time
Infosys,Bangalore,Cybersecurity Analyst,"Python, NLP, AI models",NA,Senior,18-25 LPA,23-06-2023,Contract
Amazon,Gurgaon,ML Engineer,"Java, Spring Boot, Microservices",NA,Senior,10-15 LPA,09-12-2023,Contract
PhonePe,Noida,Frontend Developer,"SQL, Power BI, Excel",NA,Senior,4-6 LPA,02-07-2024,Part-time
Amazon,Jaipur,Cloud Engineer,"SQL, Excel, Data Visualization",NA,Mid-level,7-12 LPA,14-12-2024,Part-time
Accenture,Kolkata,ML Engineer,"CI/CD, Jenkins, Kubernetes",NA,Senior,10-15 LPA,21-06-2024,Internship
Paytm,Ahmedabad,Software Engineer,"Node.js, Express, MongoDB",NA,Mid-level,6-10 LPA,06-12-2023,Part-time
Oracle,Indore,Business Analyst,"SQL, Excel, Data Visualization",NA,Senior,6-10 LPA,19-10-2023,Part-time
Paytm,Hyderabad,Product Manager,"CI/CD, Jenkins, Kubernetes",NA,Senior,10-15 LPA,28-03-2024,Full-time
PhonePe,Bhopal,ML Engineer,"AWS, Azure, Docker",NA,Mid-level,15-20 LPA,18-08-2024,Full-time
Wipro,Kolkata,Business Analyst,"Go, Kubernetes, Docker",NA,Entry-level,15-20 LPA,03-04-2024,Part-time
HCL Technologies,Mumbai,Software Engineer,"AWS, Azure, Docker",NA,Mid-level,7-12 LPA,19-06-2023,Internship
HCL Technologies,Coimbatore,Product Manager,"Go, Kubernetes, Docker",NA,Mid-level,4-6 LPA,07-12-2023,Part-time
Flipkart,Ahmedabad,Data Scientist,"Python, NLP, AI models",NA,Senior,20-30 LPA,03-01-2023,Full-time
Wipro,Jaipur,Cybersecurity Analyst,"AWS, Azure, Docker",NA,Entry-level,10-15 LPA,18-07-2024,Part-time
Amazon,Gurgaon,Business Analyst,"React, Node.js, SQL",NA,Mid-level,6-10 LPA,30-10-2024,Contract
IBM,Ahmedabad,ML Engineer,"Python, ML, TensorFlow",NA,Mid-level,5-8 LPA,10-03-2024,Contract
IBM,Lucknow,Product Manager,"Java, Spring Boot, Microservices",NA,Senior,15-20 LPA,12-01-2024,Part-time
Oracle,Hyderabad,Product Manager,"Python, ML, TensorFlow",NA,Senior,10-15 LPA,18-02-2023,Part-time
Deloitte,Nagpur,Full Stack Developer,"HTML, CSS, JavaScript",NA,Senior,7-12 LPA,20-02-2025,Internship
Cognizant,Lucknow,Full Stack Developer,"HTML, CSS, JavaScript",NA,Senior,15-20 LPA,21-12-2023,Part-time
Tech Mahindra,Gurgaon,Data Analyst,"Python, NLP, AI models",NA,Entry-level,10-15 LPA,10-08-2023,Internship
Tata Consultancy Services,Nagpur,Product Manager,"Java, Spring Boot, Microservices",NA,Mid-level,6-10 LPA,19-10-2023,Contract
Amazon,Hyderabad,Frontend Developer,"Python, ML, TensorFlow",NA,Senior,3-5 LPA,19-03-2025,Part-time
Flipkart,Chennai,Frontend Developer,"SQL, Power BI, Excel",NA,Entry-level,7-12 LPA,08-01-2024,Full-time
PhonePe,Hyderabad,Cloud Engineer,"Node.js, Express, MongoDB",NA,Senior,3-5 LPA,02-12-2024,Internship
Capgemini,Bhopal,Software Engineer,"SQL, Power BI, Excel",NA,Senior,7-12 LPA,30-12-2024,Internship
Swiggy,Pune,Cybersecurity Analyst,"Python, ML, TensorFlow",NA,Senior,7-12 LPA,18-02-2024,Contract
Flipkart,Indore,Frontend Developer,"AWS, Azure, Docker",NA,Entry-level,20-30 LPA,16-11-2024,Contract
IBM,Lucknow,Business Analyst,"Java, Spring Boot, Microservices",NA,Senior,3-5 LPA,15-08-2024,Full-time
Wipro,Surat,Data Analyst,"CI/CD, Jenkins, Kubernetes",NA,Senior,7-12 LPA,05-02-2023,Full-time
Zomato,Coimbatore,Business Analyst,"Python, ML, TensorFlow",NA,Senior,4-6 LPA,07-01-2024,Contract
Deloitte,Noida,Cloud Engineer,"HTML, CSS, JavaScript",NA,Senior,7-12 LPA,08-07-2024,Part-time
Oracle,Indore,Cloud Engineer,"Node.js, Express, MongoDB",NA,Mid-level,7-12 LPA,31-01-2023,Contract
Deloitte,Jaipur,Cybersecurity Analyst,"Go, Kubernetes, Docker",NA,Senior,6-10 LPA,04-03-2023,Contract
Deloitte,Ahmedabad,Backend Developer,"React, Node.js, SQL",NA,Mid-level,5-8 LPA,28-03-2024,Contract
Tech Mahindra,Kolkata,Data Scientist,"Ruby on Rails, PostgreSQL",NA,Entry-level,5-8 LPA,04-12-2024,Full-time
PhonePe,Indore,Data Scientist,"Ruby on Rails, PostgreSQL",NA,Senior,4-6 LPA,21-04-2023,Internship
Zomato,Mumbai,Frontend Developer,"AWS, Azure, Docker",NA,Mid-level,15-20 LPA,26-02-2023,Contract
